date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
10/30/2022,2023,0,,DET,GSW,1354.423187,1630.964585,0.2657577216968031,0.7342422783031969,1376.416566,1608.971206,,,,,,,1339.394195,1596.604866,0.322847419,0.677152581,128,114,33,8,21
10/30/2022,2023,0,,SAS,MIN,1501.295779,1537.237369,0.5911568637791719,0.40884313622082813,1508.866997,1529.66615,,,,,,,1366.346914,1592.221997,0.305180875,0.694819125,107,98,38,38,38
10/30/2022,2023,0,,DAL,ORL,1599.974443,1372.742166,0.8680355848432578,0.13196441515674218,1602.010476,1370.706132,,,,,,,1614.478311,1297.978996,0.882572278,0.117427722,114,105,26,3,15
10/30/2022,2023,0,,PHO,HOU,1625.352659,1342.780489,0.9004524947870801,0.099547505,1627.405025,1340.728124,,,,,,,1617.602641,1316.334137,0.903003772,0.096996228,124,109,30,1,16
10/30/2022,2023,0,,LAL,DEN,1413.953207,1522.689718,0.48742979897972916,0.5125702010202708,1425.320853,1511.322072,,,,,,,1448.976946,1593.368357,0.392224308,0.607775692,121,110,58,14,36
10/31/2022,2023,0,,WAS,PHI,1435.35169,1582.827746,0.4320985663131546,0.5679014336868454,1428.347431,1589.832005,,,,,,,1439.945224,1572.468828,0.351101071,0.648898929,111,118,52,21,37
10/31/2022,2023,0,,CHO,SAC,1538.777302,1394.664931,0.803011512,0.19698848761599996,1521.987288,1411.454945,,,,,,,1445.345993,1446.61028,0.62576237,0.37423763,108,115,29,35,32
10/31/2022,2023,0,,TOR,ATL,1543.257157,1536.712252,0.648698171,0.35130182878972604,1557.413013,1522.556396,,,,,,,1559.21665,1582.704695,0.574089014,0.425910986,139,109,77,28,53
10/31/2022,2023,0,,BRK,IND,1476.732313,1414.544885,0.7178103194532871,0.2821896805467129,1480.935004,1410.342193,,,,,,,1542.977377,1465.089307,0.70179692,0.29820308,116,109,52,44,48
10/31/2022,2023,0,,MIL,DET,1608.547334,1376.416566,0.871232272,0.12876772849631002,1609.530483,1375.433417,,,,,,,1603.390792,1332.36029,0.906390928,0.093609072,110,108,32,1,17
10/31/2022,2023,0,,UTA,MEM,1559.197066,1602.385187,0.5810378844429881,0.4189621155570119,1570.464974,1591.117279,,,,,,,1520.858416,1583.867219,0.565467085,0.434532915,121,105,71,33,52
10/31/2022,2023,0,,LAC,HOU,1470.547157,1340.728124,0.789671211,0.21032878916715403,1472.264056,1339.011224,,,,,,,1498.975393,1292.027949,0.834996173,0.165003827,95,93,12,7,10
11/1/2022,2023,0,,BRK,CHI,1480.935004,1452.963274,0.6762660430311159,0.3237339569688841,1466.268132,1467.630147,,,,,,,1543.525594,1486.652627,0.621078894,0.378921106,99,108,57,59,58
11/1/2022,2023,0,,MIA,GSW,1571.717153,1608.971206,0.5893296090805197,0.4106703909194803,1578.296632,1602.391727,,,,,,,1597.801544,1588.408427,0.601400535,0.398599465,116,109,84,35,60
11/1/2022,2023,0,,OKC,ORL,1398.403467,1370.706132,0.675920136,0.32407986422867197,1403.74285,1365.366749,,,,,,,1386.532954,1338.936408,0.677287876,0.322712124,116,108,7,2,5
11/1/2022,2023,0,,PHO,MIN,1627.405025,1529.66615,0.7573630553736344,0.24263694462636565,1631.483431,1525.587744,,,,,,,1606.895804,1573.859997,0.664065893,0.335934107,116,107,83,27,55
11/2/2022,2023,0,,PHI,WAS,1589.832005,1428.347431,0.8183526533730232,0.1816473466269768,1568.354172,1449.825264,,,,,,,1555.570323,1439.660394,0.745222104,0.254777896,111,121,48,16,32
11/2/2022,2023,0,,CLE,BOS,1550.189294,1636.111045,0.5202491485335214,0.47975085146647856,1554.024322,1632.276017,,,,,,,1571.264033,1662.457262,0.483560425,0.516439575,114,113,89,23,56
11/2/2022,2023,0,,MIA,SAC,1578.296632,1411.454945,0.8228918506847845,0.17710814931521546,1579.928549,1409.823028,,,,,,,1548.703282,1438.892544,0.688811352,0.311188648,110,107,47,26,37
11/2/2022,2023,0,,NYK,ATL,1519.573388,1522.556396,0.6360995425418042,0.36390045745819577,1502.67377,1539.456014,,,,,,,1538.151236,1562.12471,0.566285144,0.433714856,99,112,71,54,63
11/2/2022,2023,0,,CHI,CHO,1467.630147,1521.987288,0.5653100730911983,0.4346899269088017,1480.404781,1509.212654,,,,,,,1492.67359,1454.761634,0.594778842,0.405221158,106,88,40,62,51
11/2/2022,2023,0,,MIL,DET,1609.530483,1375.433417,0.8724967760968009,0.12750322390319913,1613.388326,1371.575574,,,,,,,1611.860458,1350.767625,0.874222429,0.125777571,116,91,38,1,20
11/2/2022,2023,0,,HOU,LAC,1339.011224,1472.264056,0.4522909148208694,0.5477090851791306,1331.011067,1480.264214,,,,,,,1297.62976,1495.364645,0.325020133,0.674979867,101,109,12,15,14
11/2/2022,2023,0,,SAS,TOR,1508.866997,1557.413013,0.573511588,0.426488412,1474.749867,1591.530143,,,,,,,1375.750795,1572.807249,0.344033786,0.655966214,100,143,37,28,33
11/2/2022,2023,0,,DAL,UTA,1602.010476,1570.464974,0.6807535086065851,0.3192464913934149,1605.240165,1567.235285,,,,,,,1622.235576,1535.500543,0.723448379,0.276551621,103,100,79,31,55
11/2/2022,2023,0,,POR,MEM,1370.136813,1591.117279,0.33260653861830003,0.667393461,1365.868559,1595.385533,,,,,,,1414.763595,1591.868614,0.357280353,0.642719647,106,111,50,39,45
11/2/2022,2023,0,,LAL,NOP,1425.320853,1584.562424,0.41556126737954097,0.584438733,1432.18071,1577.702567,,,,,,,1461.791502,1549.219824,0.478583732,0.521416268,120,117,52,34,43
11/3/2022,2023,0,,ORL,GSW,1365.366749,1602.391727,0.3124308625524148,0.6875691374475852,1371.609236,1596.14924,,,,,,,1337.554274,1583.03642,0.262644703,0.737355297,130,129,30,11,21
11/3/2022,2023,0,,OKC,DEN,1403.74285,1511.322072,0.4890943529616532,0.5109056470383468,1392.429036,1522.635886,,,,,,,1383.337562,1601.108167,0.321977112,0.678022888,110,122,44,10,27
11/4/2022,2023,0,,DET,CLE,1371.575574,1554.024322,0.3835249569304189,0.6164750430695811,1358.175325,1567.424571,,,,,,,1351.99952,1427.135814,0.504597311,0.495402689,88,112,12,10,11
11/4/2022,2023,0,,PHI,NYK,1568.354172,1502.67377,0.7218653066157202,0.27813469338427976,1560.312365,1510.715576,,,,,,,1576.81659,1532.648509,0.660005473,0.339994527,104,106,72,43,58
11/4/2022,2023,0,,WAS,BRK,1449.825264,1466.268132,0.6179824522662779,0.3820175477337221,1412.709242,1503.384154,,,,,,,1444.91769,1465.154838,0.572944502,0.427055498,86,128,32,50,41
11/4/2022,2023,0,,IND,MIA,1410.342193,1579.928549,0.4011750960188903,0.5988249039811098,1416.470216,1573.800526,,,,,,,1468.068688,1554.960227,0.48874316,0.51125684,101,99,55,40,48
11/4/2022,2023,0,,BOS,CHI,1632.276017,1480.404781,0.8099811015879745,0.19001889841202546,1634.276437,1478.40436,,,,,,,1660.169115,1497.186076,0.794858447,0.205141553,123,119,78,17,48
11/4/2022,2023,0,,MEM,CHO,1595.385533,1509.212654,0.7449195491284551,0.25508045087154485,1605.328874,1499.269313,,,,,,,1598.804229,1371.580875,0.84259918,0.15740082,130,99,41,13,27
